isolate,dose,cm,cm-6,inib,reduct,fungicide,year,genotype,mycelial_growth
015-13,2,23.5,17.5,73.4072864,26.5927136,TEBU,2013,15ADON,17.5
015-13,4,17.435,11.44,82.62356114,17.37643886,TEBU,2013,15ADON,11.44
2514,0,61.54,55.54,0,100,TEBU,2012,XXX,55.54
2514,0.5,25.9,19.9,64.16996759,35.83003241,TEBU,2012,XXX,19.9
2514,1,22.82,16.82,69.71552035,30.28447965,TEBU,2012,XXX,16.82
2514,2,19.5375,13.54,75.62567519,24.37432481,TEBU,2012,XXX,13.54
2514,4,14.3775,8.38,84.91627656,15.08372344,TEBU,2012,XXX,8.38
3159,0,64.65,58.65,0,100,TEBU,2012,NIV,58.65
3159,0.5,23.6325,17.63,69.93349817,30.06650183,TEBU,2012,NIV,17.63
3159,1,21.69,15.69,73.24580101,26.75419899,TEBU,2012,NIV,15.69
3159,2,22.165,16.17,72.43584278,27.56415722,TEBU,2012,NIV,16.17
3159,4,13.605,7.61,87.03214255,12.96785745,TEBU,2012,NIV,7.61
2499,0,72.92,66.92,0,100,TEBU,2012,NIV,66.92
2499,0.5,23.85,17.85,73.32635983,26.67364017,TEBU,2012,NIV,17.85
2499,1,21.6375,15.64,76.63254632,23.36745368,TEBU,2012,NIV,15.64
2499,2,20.3025,14.3,78.62746563,21.37253437,TEBU,2012,NIV,14.3
2499,4,12.3725,6.37,90.47743574,9.522564256,TEBU,2012,NIV,6.37
2990,0,72.1,66.1,0,100,TEBU,2012,NIV,66.1
2990,0.5,21.3575,15.36,76.76714194,23.23285806,TEBU,2012,NIV,15.36
2990,1,17.3975,11.4,82.75783821,17.24216179,TEBU,2012,NIV,11.4
2990,2,17.565,11.57,82.50444386,17.49555614,TEBU,2012,NIV,11.57
2990,4,15.345,9.35,85.86286449,14.13713551,TEBU,2012,NIV,9.35
3074,0,68.6,62.6,0,100,TEBU,2012,NIV,62.6
3074,0.5,28.285,22.29,64.39811487,35.60188513,TEBU,2012,NIV,22.29
3074,1,22.3825,16.38,73.82778177,26.17221823,TEBU,2012,NIV,16.38
3074,2,19.245,13.25,78.84016295,21.15983705,TEBU,2012,NIV,13.25
3074,4,15.3575,9.36,85.0507229,14.9492771,TEBU,2012,NIV,9.36
3270,0,80.31,74.31,0,100,TEBU,2012,NIV,74.31
3270,0.5,26.985,20.99,71.76019378,28.23980622,TEBU,2012,NIV,20.99
3270,1,22.115,16.12,78.31382048,21.68617952,TEBU,2012,NIV,16.12
3270,2,20.6975,14.7,80.22136994,19.77863006,TEBU,2012,NIV,14.7
3270,4,13.7975,7.8,89.50679586,10.49320414,TEBU,2012,NIV,7.8
2536,0,43.7,37.7,0,100,TEBU,2012,15ADON,37.7
2536,0.5,32.09,26.09,30.79116652,69.20883348,TEBU,2012,15ADON,26.09
2536,1,30.655,24.66,34.597785,65.402215,TEBU,2012,15ADON,24.66
2536,2,27.335,21.34,43.40473506,56.59526494,TEBU,2012,15ADON,21.34
2536,4,23.19,17.19,54.40015916,45.59984084,TEBU,2012,15ADON,17.19
3038,0,66.27,60.27,0,100,TEBU,2012,NIV,60.27
