id,code,location,year,genotype,state,country,test1,test2,carb1,carb2,teb1,teb2,rep_discrim,teb_dose2_rep1,teb_dose2_rep2
62,3680,Fomento,2013,NIV,PR,Brazil,43.02,44.73,17.28,14.69,16.53,15.14,1,NA,NA
63,3681,Guarapuava,2013,NIV,PR,Brazil,53.19,48.63,13.4,12.59,27,25.14,1,NA,NA
64,3682,Guarapuava,2013,NIV,PR,Brazil,44.18,46.64,14.22,14.24,13.45,13.3,1,NA,NA
65,3683,Guarapuava,2013,15ADON,PR,Brazil,50.2,34.06,17.54,16.29,16.49,15.02,1,NA,NA
66,3684,Guarapuava,2013,NIV,PR,Brazil,38.99,41.97,13.5,13.97,13.67,13.44,1,NA,NA
67,3685,Candói,2013,15ADON,PR,Brazil,53.07,50.6,15.28,13.72,18.89,16.15,1,NA,NA
68,3686,Fomento,2013,NIV,PR,Brazil,44,41.92,15.94,15.29,19.02,17.71,1,NA,NA
69,3687,Candói,2013,15ADON,PR,Brazil,45.83,43.65,13.69,13.1,20.88,20.03,1,NA,NA
70,3688,Goioxim,2013,15ADON,PR,Brazil,50.54,47.32,15.44,15.05,20.1,17.28,1,NA,NA
71,3689,Guarapuava,2013,NIV,PR,Brazil,46.98,49.98,12.7,11.57,12.72,12.01,1,NA,NA
72,3690,Guarapuava,2013,15ADON,PR,Brazil,30.9,28.57,14.79,15.45,20.63,20.22,1,NA,NA
73,3691,Guarapuava,2013,15ADON,PR,Brazil,45.63,48.11,14.39,15.08,15.41,13.18,1,NA,NA
74,3692,Guarapuava,2013,NIV,PR,Brazil,49.26,51.79,24.3,21.75,27.92,29.37,1,NA,NA
75,3693,Candói,2013,NIV,PR,Brazil,37.75,35.06,14.19,14.18,12.75,12.4,1,NA,NA
76,3694,Palmeirinha,2013,NIV,PR,Brazil,35.08,34.74,16.05,13.74,13.84,13.34,1,NA,NA
77,3695,Guarapuava,2013,15ADON,PR,Brazil,51.88,47.88,15.92,15.36,24.3,19.65,1,NA,NA
78,3696,Guarapuava,2013,15ADON,PR,Brazil,32.22,25.33,13.29,12.71,17.06,14.5,1,NA,NA
79,3697,Guarapuava,2013,15ADON,PR,Brazil,43.85,44.43,14.46,13.62,27.36,24.49,1,NA,NA
80,3698,Guarapuava,2013,15ADON,PR,Brazil,44.32,36.96,12,12.37,15.79,14.93,1,NA,NA
81,3699,Guarapuava,2013,15ADON,PR,Brazil,43.05,44.69,14.07,14.04,21.93,16.95,1,NA,NA
82,3700,Candói,2013,15ADON,PR,Brazil,52.61,51.48,13.88,12.98,24.5,19.99,1,NA,NA
83,3701,Goioxim,2013,NIV,PR,Brazil,48.12,47.51,18.47,17.18,22.18,17.9,1,NA,NA
84,3702,Candói,2013,NIV,PR,Brazil,51.24,44.34,18.19,16.4,17.19,16.32,1,NA,NA
85,3703,Candói,2013,15ADON,PR,Brazil,48.73,45.68,14.53,13.38,14.69,14.37,1,NA,NA
86,3704,Palmeirinha,2013,15ADON,PR,Brazil,45.07,45.57,15.15,15.03,20.91,19.08,1,NA,NA
87,2434,Pinhão,2012,XXX,PR,Brazil,56.3,55.04,23.04,22.95,9.44,12.09,1,NA,NA
88,2474,Turvo,2012,NIV,PR,Brazil,21.79,19.24,17.96,15.45,14.28,12.51,1,NA,NA
89,2485,Guarapuava,2012,15ADON,PR,Brazil,47.59,50.37,23.42,21.72,26.08,21.31,1,NA,NA
90,2489,Guarapuava,2012,3ADON,PR,Brazil,47.97,46.18,16.71,16.31,19.2,16.92,1,NA,NA
91,2492,Guarapuava,2012,XXX,PR,Brazil,56.86,58.48,30.79,29.95,29.76,28.56,1,NA,NA
92,2494,Guarapuava,2012,NIV,PR,Brazil,48.19,47.16,14.78,14.97,17.16,16.26,1,NA,NA
93,2497,Campina do Simão,2012,15ADON,PR,Brazil,35.4,34.7,22.31,22.38,14.63,13.83,1,NA,NA
94,2499,Pinhão,2012,NIV,PR,Brazil,40.41,39.06,13.46,12.9,14.3,13.85,1,NA,NA
95,2504,Pinhão,2012,XXX,PR,Brazil,45.41,43,14.37,14.54,15.64,16.18,1,NA,NA
96,2514,Guarapuava,2012,XXX,PR,Brazil,38.79,36.37,17.01,13.52,18.46,18,1,NA,NA
97,2519,Guarapuava,2012,15ADON,PR,Brazil,48.71,49.5,25.81,24.98,26.19,23.61,1,NA,NA
98,2536,Guarapuava,2012,15ADON,PR,Brazil,39.2,36.85,27.1,23.78,20.35,20.53,1,NA,NA
99,2541,Guarapuava,2012,15ADON,PR,Brazil,42.42,42.5,24.61,20.6,26.53,27.12,1,NA,NA
100,2985,??,2012,NIV,PR,Brazil,42.17,38.45,15.03,13.62,13.68,14.5,1,NA,NA
101,2990,Pinhão,2012,NIV,PR,Brazil,47.79,42.03,14.25,13.83,11.8,11.28,1,NA,NA
102,3016,Cantagalo,2012,15ADON,PR,Brazil,37.26,34.28,10.61,11.38,16.4,15.63,1,NA,NA
103,3021,Cantagalo,2012,NIV,PR,Brazil,46.92,42.7,14.12,15.03,17.29,14.86,1,NA,NA
104,3025,Turvo,2012,NIV,PR,Brazil,42.96,37.07,18.74,18.19,14.82,17.76,1,NA,NA
105,3028,Turvo,2012,NIV,PR,Brazil,42.79,39.01,13.54,12.21,10.4,10.01,1,NA,NA
106,3033,Roncador,2012,15ADON,PR,Brazil,42.73,41.84,14.98,13.44,16.82,15.97,1,NA,NA
107,3038,Roncador,2012,NIV,PR,Brazil,50.05,51.95,15.11,15.37,12.12,11.76,1,NA,NA
108,3045,Roncador,2012,NIV,PR,Brazil,42.66,39.65,16.18,16.03,15.71,12.76,1,NA,NA
109,3054,Campina do Simão,2012,NIV,PR,Brazil,47.24,38.75,14.32,14.79,16.22,14.95,1,NA,NA
110,3056,Campina do Simão,2012,NIV,PR,Brazil,33.77,34.86,15.96,15.15,15.27,15.38,1,NA,NA
111,3061,Campina do Simão,2012,NIV,PR,Brazil,35.35,32.88,15.97,13.55,16.95,14.17,1,NA,NA
112,3066,Campina do Simão,2012,15ADON,PR,Brazil,51.9,49.03,14.7,13.88,15.92,14.99,1,NA,NA
113,3070,Pinhão,2012,15ADON,PR,Brazil,38.78,41.49,16.36,15.62,17.56,15.16,1,NA,NA
114,3071,Pinhão,2012,15ADON,PR,Brazil,31.72,33.51,12.7,12.69,14.94,15.04,1,NA,NA
115,3072,Pinhão,2012,15ADON,PR,Brazil,48.91,42.33,14.23,13.59,15.99,15.66,1,NA,NA
116,3074,Pinhão,2012,NIV,PR,Brazil,45.95,43.69,15.85,15.7,13.78,11.09,1,NA,NA
117,3077,Pinhão,2012,15ADON,PR,Brazil,49.39,47.47,13.59,13.25,15.79,14.98,1,NA,NA
118,3084,Guarapuava,2012,NIV,PR,Brazil,46.62,46.32,19.89,18.92,17.58,17.17,1,NA,NA
119,3086,Guarapuava,2012,NIV,PR,Brazil,47.31,43.24,18.28,15.91,15.28,13.17,1,NA,NA
120,3087,Guarapuava,2012,NIV,PR,Brazil,39.96,38.68,15.95,15.1,17.35,17.7,1,NA,NA
121,3088,Goioxim,2012,NIV,PR,Brazil,49.27,44.11,15.71,15,12.24,13.53,1,NA,NA
122,3089,Goioxim,2012,15ADON,PR,Brazil,46.57,43.21,19.46,16.84,9.36,9.47,1,NA,NA
123,3093,Goioxim,2012,15ADON,PR,Brazil,41.45,39.17,14.5,13.5,13.94,13.49,1,NA,NA
124,3097,Goioxim,2012,XXX,PR,Brazil,48.88,44.36,25.31,23.24,34.65,34.06,1,NA,NA
125,3100,Guarapuava,2012,NIV,PR,Brazil,48,44.36,14.93,13.49,15.97,14.89,1,NA,NA
126,3103,Guarapuava,2012,15ADON,PR,Brazil,48.33,49.52,15.1,15.62,16.74,15.64,1,NA,NA
127,3145,Pinhão,2012,NIV,PR,Brazil,47.04,52.58,17.07,14.36,13.45,12.1,1,NA,NA
128,3159,Pinhão,2012,NIV,PR,Brazil,43.52,44.7,13.31,13.31,17.33,18.31,1,NA,NA
129,3176,Turvo,2012,XXX,PR,Brazil,46.6,50.43,16.16,14.5,21.91,20.08,1,NA,NA
130,3178,Turvo,2012,15ADON,PR,Brazil,49.13,40.59,15.18,15.71,17.54,16.43,1,NA,NA
131,3182,Guarapuava,2012,NIV,PR,Brazil,15.04,12.82,14.83,10.05,11.49,11.3,1,NA,NA
132,3214,Guarapuava,2012,NIV,PR,Brazil,40.07,38.55,15.75,15.46,16.37,13.88,1,NA,NA
133,3242,Guarapuava,2012,NIV,PR,Brazil,40.87,39.03,15.89,15.3,18.04,16.69,1,NA,NA
134,3248,Guarapuava,2012,XXX,PR,Brazil,30.69,25.4,15.97,16.11,19.22,18.9,1,NA,NA
135,3261,Guarapuava,2012,3ADON,PR,Brazil,40.18,38.06,18.63,19.17,18.92,18.15,1,NA,NA
136,3263,Guarapuava,2012,NIV,PR,Brazil,50.07,45.24,15.24,15.17,18.28,16.72,1,NA,NA
137,3264,Guarapuava,2012,15ADON,PR,Brazil,47.03,42.51,14.13,16.02,15.05,12.21,1,NA,NA
138,3268,Guarapuava,2012,15ADON,PR,Brazil,41.14,41.73,16.19,15.81,10.14,9.38,1,NA,NA
139,3270,Guarapuava,2012,NIV,PR,Brazil,33.25,32,18.63,17.34,18.3,16.84,1,NA,NA
140,3271,Guarapuava,2012,15ADON,PR,Brazil,41.34,35.28,17.08,16.65,20.51,16.35,1,NA,NA
141,3276,Guarapuava,2012,NIV,PR,Brazil,43.44,41.76,16.44,14.44,15.03,13.8,1,NA,NA
142,3279,Guarapuava,2012,15ADON,PR,Brazil,41.91,38.56,15.66,14.44,20.45,18.72,1,NA,NA
143,3280,Guarapuava,2012,15ADON,PR,Brazil,49.61,47.75,13.76,14,19.47,17.81,1,NA,NA
144,3285,Guarapuava,2012,15ADON,PR,Brazil,45.86,47.74,8.99,8.98,14.75,15.29,1,NA,NA
145,3296,Guarapuava,2012,NIV,PR,Brazil,48.11,47.37,15.09,14.21,12.22,12.28,1,NA,NA
146,3298,Guarapuava,2012,NIV,PR,Brazil,48.95,43.05,14.32,12.88,13,13.81,1,NA,NA
147,3307,Reserva do Iguaçu,2013,15ADON,PR,Brazil,46.74,42.27,12.01,11.39,21.31,20.46,1,NA,NA
148,3311,Reserva do Iguaçu,2013,NIV,PR,Brazil,53.45,56.78,12.99,12.72,18.16,15.65,1,NA,NA
149,3316,Reserva do Iguaçu,2013,NIV,PR,Brazil,49.22,44.38,14.64,14.42,14.95,16.1,1,NA,NA
150,3317,Reserva do Iguaçu,2013,15ADON,PR,Brazil,47.92,46.2,14.77,13.94,17.33,17.87,1,NA,NA
151,3325,Guarapuava,2013,15ADON,PR,Brazil,36.35,30.31,19.07,17.34,19.58,18.39,1,NA,NA
152,3337,Campina do Simão,2013,15ADON,PR,Brazil,48.19,49.43,17.18,16.19,17.87,16.72,1,NA,NA
153,3338,Campina do Simão,2013,3ADON,PR,Brazil,44.05,38.09,15.73,14.65,20.19,22.15,1,NA,NA
154,3340,Campina do Simão,2013,NIV,PR,Brazil,43.08,43.1,17.21,15.56,16.72,17.26,1,NA,NA
